marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,longueur_num,cluster,categorie
Volvo,S80 T6,272,très longue,5,5,blanc,False,50500,4,1,Berlines familiales
Volvo,S80 T6,272,très longue,5,5,noir,False,50500,4,1,Berlines familiales
Volvo,S80 T6,272,très longue,5,5,rouge,False,50500,4,1,Berlines familiales
Volvo,S80 T6,272,très longue,5,5,gris,False,50500,4,1,Berlines familiales
Volvo,S80 T6,272,très longue,5,5,bleu,False,50500,4,1,Berlines familiales
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,False,27340,3,0,Citadines économiques
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,False,27340,3,0,Citadines économiques
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,False,27340,3,0,Citadines économiques
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,False,27340,3,0,Citadines économiques
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,False,27340,3,0,Citadines économiques
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,False,12200,1,2,Voitures premium
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,False,12200,1,2,Voitures premium
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,False,12200,1,2,Voitures premium
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,False,12200,1,2,Voitures premium
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,False,12200,1,2,Voitures premium
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,False,26630,2,1,Berlines familiales
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,False,26630,2,1,Berlines familiales
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,False,26630,2,1,Berlines familiales
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,False,26630,2,1,Berlines familiales
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,False,26630,2,1,Berlines familiales
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,False,22900,2,1,Berlines familiales
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,False,22900,2,1,Berlines familiales
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,False,22900,2,1,Berlines familiales
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,False,22900,2,1,Berlines familiales
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,False,22900,2,1,Berlines familiales
Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,False,31790,4,1,Berlines familiales
Skoda,Superb 2.8 V6,193,très longue,5,5,gris,False,31790,4,1,Berlines familiales
Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,False,31790,4,1,Berlines familiales
Skoda,Superb 2.8 V6,193,très longue,5,5,noir,False,31790,4,1,Berlines familiales
Skoda,Superb 2.8 V6,193,très longue,5,5,blanc,False,31790,4,1,Berlines familiales
Seat,Toledo 1.6,102,longue,5,5,blanc,False,18880,3,1,Berlines familiales
Seat,Toledo 1.6,102,longue,5,5,noir,False,18880,3,1,Berlines familiales
Seat,Toledo 1.6,102,longue,5,5,rouge,False,18880,3,1,Berlines familiales
Seat,Toledo 1.6,102,longue,5,5,gris,False,18880,3,1,Berlines familiales
Seat,Toledo 1.6,102,longue,5,5,bleu,False,18880,3,1,Berlines familiales
Saab,9.3 1.8T,150,longue,5,5,gris,False,38600,3,1,Berlines familiales
Saab,9.3 1.8T,150,longue,5,5,bleu,False,38600,3,1,Berlines familiales
Saab,9.3 1.8T,150,longue,5,5,noir,False,38600,3,1,Berlines familiales
Saab,9.3 1.8T,150,longue,5,5,rouge,False,38600,3,1,Berlines familiales
Saab,9.3 1.8T,150,longue,5,5,blanc,False,38600,3,1,Berlines familiales
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,False,49200,4,1,Berlines familiales
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,False,49200,4,1,Berlines familiales
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,False,49200,4,1,Berlines familiales
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,False,49200,4,1,Berlines familiales
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,False,49200,4,1,Berlines familiales
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,False,22350,2,1,Berlines familiales
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,False,22350,2,1,Berlines familiales
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,False,22350,2,1,Berlines familiales
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,False,22350,2,1,Berlines familiales
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,False,22350,2,1,Berlines familiales
Renault,Laguna 2.0T,170,longue,5,5,gris,False,27300,3,1,Berlines familiales
Renault,Laguna 2.0T,170,longue,5,5,bleu,False,27300,3,1,Berlines familiales
Renault,Laguna 2.0T,170,longue,5,5,rouge,False,27300,3,1,Berlines familiales
Renault,Laguna 2.0T,170,longue,5,5,noir,False,27300,3,1,Berlines familiales
Renault,Laguna 2.0T,170,longue,5,5,blanc,False,27300,3,1,Berlines familiales
Renault,Espace 2.0T,165,longue,7,5,noir,False,30350,3,0,Citadines économiques
Renault,Espace 2.0T,165,longue,7,5,bleu,False,30350,3,0,Citadines économiques
Renault,Espace 2.0T,165,longue,7,5,rouge,False,30350,3,0,Citadines économiques
Renault,Espace 2.0T,165,longue,7,5,blanc,False,30350,3,0,Citadines économiques
Renault,Espace 2.0T,165,longue,7,5,gris,False,30350,3,0,Citadines économiques
Peugeot,1007 1.4,75,courte,5,5,noir,False,13750,1,1,Berlines familiales
Peugeot,1007 1.4,75,courte,5,5,gris,False,13750,1,1,Berlines familiales
Peugeot,1007 1.4,75,courte,5,5,rouge,False,13750,1,1,Berlines familiales
Peugeot,1007 1.4,75,courte,5,5,blanc,False,13750,1,1,Berlines familiales
Peugeot,1007 1.4,75,courte,5,5,bleu,False,13750,1,1,Berlines familiales
Nissan,Primera 1.6,109,longue,5,5,noir,False,18650,3,1,Berlines familiales
Nissan,Primera 1.6,109,longue,5,5,bleu,False,18650,3,1,Berlines familiales
